,baseFare
30133,292.09
93690,124.65
259640,199.07
57488,208.38
13761,338.6
146452,310.7
178315,87.44
37130,133.95
236609,124.65
69701,294.89
29845,292.09
140014,431.63
11791,217.67
180307,115.35
287928,310.7
246407,217.67
258310,161.86
236969,236.28
96724,273.49
73321,180.47
8265,357.21
143024,217.67
219453,236.28
62337,271.63
265589,264.19
270362,310.7
28161,366.51
180102,124.65
267654,217.67
157729,171.16
230342,310.7
262835,124.65
274724,310.7
160573,143.26
257769,301.4
286187,310.7
281840,310.7
60524,180.47
106535,226.98
96314,152.56
195714,124.65
191386,310.7
168756,124.65
74183,236.27
174786,124.65
221186,115.35
1754,245.58
167305,124.65
54497,226.98
81171,226.98
31595,271.63
199205,133.95
156700,171.16
3742,357.21
211027,124.65
91975,213.03
38238,152.56
218044,143.26
236837,124.65
269930,171.16
77190,271.63
264165,171.16
231217,124.65
280063,143.26
254225,236.28
198991,264.19
174494,87.44
145546,199.07
267965,217.67
270728,310.7
281239,199.07
228438,310.7
164609,92.09
108785,124.65
140325,171.16
285396,264.19
189309,124.65
193971,124.65
205081,124.65
61441,226.97
178185,124.65
41630,271.63
12829,106.05
48692,271.63
251321,310.7
239953,292.09
228024,115.35
256571,236.28
107058,180.47
280755,171.16
9756,262.33
171829,217.67
107518,310.7
160485,124.65
40269,292.09
122343,217.67
206709,236.28
11974,106.05
209336,124.65
279785,214.88
42274,133.95
253668,264.19
107536,217.67
66992,124.65
137106,231.63
218161,124.65
36616,101.39
77427,124.65
77589,217.67
124242,226.98
85187,180.47
77585,199.07
191192,124.65
233204,236.28
101343,273.49
280978,199.07
239157,310.7
242598,310.7
99934,199.07
2279,82.79
215508,217.67
270940,217.67
128937,124.65
272173,264.19
106124,171.16
140130,217.67
121656,124.65
249604,217.67
196286,124.65
118386,199.07
196861,217.67
159634,171.16
83068,152.56
237250,292.09
280105,310.7
251364,217.67
6460,282.79
143360,171.16
39652,271.63
243477,124.65
113706,217.67
179768,87.44
10215,282.79
286763,366.51
158958,124.65
37427,245.58
113102,124.65
253033,413.02
165346,143.26
121847,152.56
236635,124.65
46173,236.28
36329,208.37
214781,133.95
21068,203.73
6731,171.16
138966,87.44
161640,171.16
174704,87.44
142365,124.65
194963,171.16
108719,208.37
103812,152.56
9012,124.65
143821,124.65
234532,199.07
69404,315.35
41330,250.24
275383,132.09
284452,217.67
203642,124.65
31950,161.86
212135,171.16
145807,124.65
2245,194.42
6079,240.93
68356,254.89
104743,264.19
225867,217.67
229947,310.7
236608,124.65
176326,143.26
124898,217.67
272921,217.67
112011,264.19
148303,264.19
37273,329.3
104760,226.98
72542,226.98
242983,301.4
147453,124.65
66668,208.37
115246,352.56
36622,203.73
143073,217.67
152829,87.44
171487,124.65
226433,115.35
56720,271.63
76761,271.63
273031,310.7
65342,124.65
6516,217.67
278119,310.7
81332,180.47
216386,115.35
8676,315.35
147927,124.65
192141,124.65
116354,422.33
277147,132.09
63121,226.98
60245,271.63
128777,171.16
56559,271.63
227711,282.79
18304,292.09
104462,152.56
242694,217.67
151506,124.65
218226,236.28
72900,245.58
239347,310.7
82247,217.67
131953,217.67
25314,254.89
124896,217.67
77360,357.21
135024,124.65
